Name,lambda,CO_volpct,CO2_volpct,HC_ppm,NOx_ppm,O2_volpct,FSN
CA12_IMEP1_5,7.015,0.01,2.02,5,428,17.92,0.24
CA12_IMEP2_5,4.768,0.02,2.94,6,727,16.45,0.21
CA12_IMEP3_5,3.578,0.01,3.94,5,1151,14.94,0.24
CA15_IMEP1_5,6.918,0.01,2.05,5,561,17.89,0.23
CA15_IMEP2_5,4.792,0.01,2.95,6,962,16.47,0.18
CA18_IMEP1_5,7.089,0.01,2,5,692,17.96,0.17
CA18_IMEP2_5,4.876,0.01,2.89,5,1264,16.49,0.15
CA15_IMEP3_5,3.624,0.01,3.9,6,1466,15.05,0.22
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CA18_IMEP3_5,3.617,0.01,3.9,5,1962,15.01,0.18
